"","shortPostCode","price","type","year","postCode","town","district","county","population2019","population2020","population2021","population2022"
"1","CV13",975000,"YEW TREE FARMHOUSE","2021","CV13 0QG","NUNEATON","HINCKLEY AND BOSWORTH","LEICESTERSHIRE",10774.1329025262,10834.6033042092,10895.4130992812,10956.564192606
"2","CV13",975000,"YEW TREE FARMHOUSE","2021","CV13 0DJ","NUNEATON","HINCKLEY AND BOSWORTH","LEICESTERSHIRE",10774.1329025262,10834.6033042092,10895.4130992812,10956.564192606
"3","CV13",975000,"YEW TREE FARMHOUSE","2021","CV13 0PU","NUNEATON","HINCKLEY AND BOSWORTH","LEICESTERSHIRE",10774.1329025262,10834.6033042092,10895.4130992812,10956.564192606
"4","CV13",975000,"YEW TREE FARMHOUSE","2021","CV13 6NN","NUNEATON","HINCKLEY AND BOSWORTH","LEICESTERSHIRE",10774.1329025262,10834.6033042092,10895.4130992812,10956.564192606
"5","CV13",975000,"YEW TREE FARMHOUSE","2021","CV13 6AH","NUNEATON","HINCKLEY AND BOSWORTH","LEICESTERSHIRE",10774.1329025262,10834.6033042092,10895.4130992812,10956.564192606
"6","CV13",975000,"YEW TREE FARMHOUSE","2021","CV13 0PE","NUNEATON","HINCKLEY AND BOSWORTH","LEICESTERSHIRE",10774.1329025262,10834.6033042092,10895.4130992812,10956.564192606
"7","CV13",975000,"YEW TREE FARMHOUSE","2021","CV13 6EX","NUNEATON","HINCKLEY AND BOSWORTH","LEICESTERSHIRE",10774.1329025262,10834.6033042092,10895.4130992812,10956.564192606
"8","CV13",975000,"YEW TREE FARMHOUSE","2021","CV13 0LG","NUNEATON","HINCKLEY AND BOSWORTH","LEICESTERSHIRE",10774.1329025262,10834.6033042092,10895.4130992812,10956.564192606
"9","CV13",975000,"YEW TREE FARMHOUSE","2021","CV13 0DW","NUNEATON","HINCKLEY AND BOSWORTH","LEICESTERSHIRE",10774.1329025262,10834.6033042092,10895.4130992812,10956.564192606
"10","CV13",975000,"YEW TREE FARMHOUSE","2021","CV13 0DR","NUNEATON","HINCKLEY AND BOSWORTH","LEICESTERSHIRE",10774.1329025262,10834.6033042092,10895.4130992812,10956.564192606
"11","CV13",975000,"YEW TREE FARMHOUSE","2021","CV13 6AA","NUNEATON","HINCKLEY AND BOSWORTH","LEICESTERSHIRE",10774.1329025262,10834.6033042092,10895.4130992812,10956.564192606
"12","CV13",975000,"YEW TREE FARMHOUSE","2021","CV13 0LT","NUNEATON","HINCKLEY AND BOSWORTH","LEICESTERSHIRE",10774.1329025262,10834.6033042092,10895.4130992812,10956.564192606
"13","CV13",975000,"YEW TREE FARMHOUSE","2021","CV13 0PQ","NUNEATON","HINCKLEY AND BOSWORTH","LEICESTERSHIRE",10774.1329025262,10834.6033042092,10895.4130992812,10956.564192606
"14","CV13",975000,"YEW TREE FARMHOUSE","2021","CV13 6EZ","NUNEATON","HINCKLEY AND BOSWORTH","LEICESTERSHIRE",10774.1329025262,10834.6033042092,10895.4130992812,10956.564192606
"15","CV13",975000,"YEW TREE FARMHOUSE","2021","CV13 6ET","NUNEATON","HINCKLEY AND BOSWORTH","LEICESTERSHIRE",10774.1329025262,10834.6033042092,10895.4130992812,10956.564192606
"16","CV13",975000,"YEW TREE FARMHOUSE","2021","CV13 0BQ","NUNEATON","HINCKLEY AND BOSWORTH","LEICESTERSHIRE",10774.1329025262,10834.6033042092,10895.4130992812,10956.564192606
"17","LE67",436000,"2","2021","LE67 8FW","COALVILLE","NORTH WEST LEICESTERSHIRE","LEICESTERSHIRE",59234.6018751542,59567.0592711534,59901.3826022083,60237.5823409802
"18","LE67",436000,"2","2021","LE67 8FZ","COALVILLE","NORTH WEST LEICESTERSHIRE","LEICESTERSHIRE",59234.6018751542,59567.0592711534,59901.3826022083,60237.5823409802
"19","LE67",436000,"2","2021","LE67 2SA","COALVILLE","NORTH WEST LEICESTERSHIRE","LEICESTERSHIRE",59234.6018751542,59567.0592711534,59901.3826022083,60237.5823409802
