"","shortPostCode","population2019","population2020","population2021","population2022"
"1","AL1 ",36383.0622002424,36587.2640980295,36792.6120899752,36999.1126085947
"2","AL10",36101.4906851493,36304.1122476301,36507.8710345525,36712.7734286498
"3","AL2 ",23736.4787223472,23869.7009886647,24003.6709721331,24138.3928693552
"4","AL3 ",28621.7445092122,28782.3855930933,28943.9282837168,29106.3776413992
"5","AL4 ",27421.043119851,27574.9452024618,27729.7110688072,27885.3455669199
"6","AL5 ",30409.7236300533,30580.3998431291,30752.0339856509,30924.6314340493
"7","AL6 ",11284.9840799093,11348.3216613623,11412.0147284052,11476.0652762203
"8","AL7 ",34080.2094518025,34271.4864644063,34463.8370295539,34657.2671726168
"9","AL8 ",13326.3775643342,13401.1725767575,13476.3873802198,13552.0243308208
"10","AL9 ",10467.4210735855,10526.1700385956,10585.2487353386,10644.6590144517
"11","B1  ",8033.8386931381,8078.92904585842,8124.27247061392,8169.87038778505
"12","B10 ",26053.4100465417,26199.6362148078,26346.6830853255,26494.5552643303
"13","B11 ",44954.9036097191,45207.2154294724,45460.9433629146,45716.0953580602
"14","B12 ",20871.488556275,20988.6309108513,21106.4307332072,21224.8917134158
"15","B13 ",37023.6373970792,37231.434557688,37440.3979910618,37650.5342429694
"16","B14 ",43656.6578026292,43901.6831478097,44148.0837109478,44395.8672105285
"17","B15 ",18323.2663446826,18426.1066647373,18529.5241816318,18633.5221349144
"18","B16 ",23903.4104062952,24037.5695856871,24172.4817407051,24308.1510974654
"19","B17 ",25706.4737154449,25850.7526848515,25995.8414277511,26141.7444890411
"20","B18 ",16374.3892152169,16466.2913573304,16558.7093051704,16651.6459537244
"21","B19 ",20180.6327317431,20293.8976207644,20407.7982150808,20522.3380826224
"22","B2  ",619.45733320479,622.934070878556,626.430321929926,629.946195878782
"23","B20 ",34280.3263500294,34472.7265295115,34666.2065653721,34860.7725183633
"24","B21 ",30496.2063096891,30667.3679114661,30839.4901669593,31012.5784678895
"25","B23 ",43110.6101858593,43352.5708093566,43595.8894498959,43840.5737294211
"26","B24 ",29032.034431205,29194.9782893895,29358.8366787613,29523.614732176
"27","B25 ",16094.8289252316,16185.1620201482,16276.0021144293,16367.3520536362
"28","B26 ",33010.2376944488,33195.5094328888,33381.8210189476,33569.1782888262
"29","B27 ",24973.382163649,25113.5466172046,25254.4977513113,25396.239981256
"30","B28 ",30204.5786690569,30374.103494981,30544.5797881286,30716.0128886609
"31","B29 ",42259.8619652567,42497.0477185072,42735.5646895831,42975.4203500161
"32","B3  ",2588.44671374859,2602.97451045682,2617.58384520719,2632.27517563634
"33","B30 ",29247.2355177405,29411.3872036233,29576.4601996915,29742.4596768482
