"","postCode","town","district","county","shortPostCode","population2019","population2020","population2021","population2022"
"1","CV13 0QG","NUNEATON","HINCKLEY AND BOSWORTH","LEICESTERSHIRE","CV13",10774.1329025262,10834.6033042092,10895.4130992812,10956.564192606
"2","LE67 8FW","COALVILLE","NORTH WEST LEICESTERSHIRE","LEICESTERSHIRE","LE67",59234.6018751542,59567.0592711534,59901.3826022083,60237.5823409802
"3","DE74 2UU","DERBY","NORTH WEST LEICESTERSHIRE","LEICESTERSHIRE","DE74",11555.4938569095,11620.3496890674,11685.5695280792,11751.1554169531
"4","LE16 7TY","MARKET HARBOROUGH","HARBOROUGH","LEICESTERSHIRE","LE16",35171.2990727882,35368.6998847037,35567.2086193168,35766.8314949033
"5","LE10 2QS","HINCKLEY","HINCKLEY AND BOSWORTH","LEICESTERSHIRE","LE10",47740.4503840328,48008.3962352087,48277.8459469177,48548.807959658
"6","OL12 8XG","ROCHDALE","ROSSENDALE","LANCASHIRE","OL12",45923.3084991285,46181.0555435244,46440.2492071005,46700.897609085
"7","LE17 5JL","LUTTERWORTH","HARBOROUGH","LEICESTERSHIRE","LE17",20763.8880130073,20880.4264537345,20997.618972742,21115.4692410797
"8","DE12 6EZ","SWADLINCOTE","NORTH WEST LEICESTERSHIRE","LEICESTERSHIRE","DE12",20576.8440779812,20692.3327245406,20808.4695573541,20925.258214402
"9","LE12 5BP","LOUGHBOROUGH","CHARNWOOD","LEICESTERSHIRE","LE12",62470.6630736169,62821.2830375287,63173.8708748877,63528.4376304898
"10","CV13 0DJ","NUNEATON","HINCKLEY AND BOSWORTH","LEICESTERSHIRE","CV13",10774.1329025262,10834.6033042092,10895.4130992812,10956.564192606
"11","DE12 6EZ","SWADLINCOTE","NORTH WEST LEICESTERSHIRE","LEICESTERSHIRE","DE12",20576.8440779812,20692.3327245406,20808.4695573541,20925.258214402
"12","LE17 6LR","LUTTERWORTH","HARBOROUGH","LEICESTERSHIRE","LE17",20763.8880130073,20880.4264537345,20997.618972742,21115.4692410797
"13","CV13 0PU","NUNEATON","HINCKLEY AND BOSWORTH","LEICESTERSHIRE","CV13",10774.1329025262,10834.6033042092,10895.4130992812,10956.564192606
"14","LE12 8LR","LOUGHBOROUGH","CHARNWOOD","LEICESTERSHIRE","LE12",62470.6630736169,62821.2830375287,63173.8708748877,63528.4376304898
"15","LE12 8SX","LOUGHBOROUGH","CHARNWOOD","LEICESTERSHIRE","LE12",62470.6630736169,62821.2830375287,63173.8708748877,63528.4376304898
"16","LE14 4AE","MELTON MOWBRAY","MELTON","LEICESTERSHIRE","LE14",17418.2150461691,17515.9757170251,17614.285074916,17713.1461993773
"17","LE10 2AJ","HINCKLEY","HINCKLEY AND BOSWORTH","LEICESTERSHIRE","LE10",47740.4503840328,48008.3962352087,48277.8459469177,48548.807959658
"18","LE67 8FZ","COALVILLE","NORTH WEST LEICESTERSHIRE","LEICESTERSHIRE","LE67",59234.6018751542,59567.0592711534,59901.3826022083,60237.5823409802
"19","LE12 9UQ","LOUGHBOROUGH","CHARNWOOD","LEICESTERSHIRE","LE12",62470.6630736169,62821.2830375287,63173.8708748877,63528.4376304898
"20","BB10 3QR","BURNLEY","BURNLEY","LANCASHIRE","BB10",37642.08911773,37853.357371958,38065.8113806509,38279.4577989198
"21","LE12 7FP","LOUGHBOROUGH","CHARNWOOD","LEICESTERSHIRE","LE12",62470.6630736169,62821.2830375287,63173.8708748877,63528.4376304898
"22","LE12 7FP","LOUGHBOROUGH","CHARNWOOD","LEICESTERSHIRE","LE12",62470.6630736169,62821.2830375287,63173.8708748877,63528.4376304898
"23","LE16 7TY","MARKET HARBOROUGH","HARBOROUGH","LEICESTERSHIRE","LE16",35171.2990727882,35368.6998847037,35567.2086193168,35766.8314949033
"24","BB12 8EX","BURNLEY","BURNLEY","LANCASHIRE","BB12",34807.267328275,35002.6249924017,35199.0791119489,35396.6358408316
"25","LE17 6DF","LUTTERWORTH","HARBOROUGH","LEICESTERSHIRE","LE17",20763.8880130073,20880.4264537345,20997.618972742,21115.4692410797
"26","LE16 7EU","MARKET HARBOROUGH","HARBOROUGH","LEICESTERSHIRE","LE16",35171.2990727882,35368.6998847037,35567.2086193168,35766.8314949033
"27","LE12 9NX","LOUGHBOROUGH","CHARNWOOD","LEICESTERSHIRE","LE12",62470.6630736169,62821.2830375287,63173.8708748877,63528.4376304898
"28","PR26 9HB","LEYLAND","CHORLEY","LANCASHIRE","PR26",15675.4884902537,15763.4680143749,15851.9413283177,15940.911203504
"29","BB10 3LQ","BURNLEY","BURNLEY","LANCASHIRE","BB10",37642.08911773,37853.357371958,38065.8113806509,38279.4577989198
